Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Result
Register Storage,Successfully register a storage device with right credentials,SIM_RM_0001,"1. SIM project installed
2. Storage device Available 
","1. Call POST /v1/storages with correct credentials body to register a new storage device:
{ 
""username"":""admin"",
""password"": ""password"",
""port"":1234,
""host"" :10.0.0.1,
""vendor"" : “vendor”,
""model"": ""model""
}
2. Check whether the storage is registered successfully.
3. Obtain basic device information(GET /v1/storages/<id> and check whether the information is correct.","1. In step 2, the storage device is successfully added with normal state. The status code of return is 200.
2. In step 3, the basic information about the storage device is obtained successfully and the information is correct."
Register Storage ,Failed to register a storage device with invalid username or password,SIM_RM_0002,"1. SIM project installed
2. Storage device Available
","1. Call POST /v1/storages with invalid credentials body(username or password) to register a new storage device:
{ 
""username"":""admin"",
""password"": ""password"",
""port"":1234,
""host"" :10.0.0.1,
""vendor"" : “vendor”,
""model"": ""model""
}
2. Check whether the storage is registered successfully.","1. In step 2, the storage device is unsuccessfully added. The status code of return is 400.
"
Register Storage ,Failed to register a storage device with invalid vendor or model,SIM_RM_0003,"1. SIM project installed
2. Storage device Available
","1. Call POST /v1/storages with invalid credentials body(vendor or model) to register a new storage device:
{ 
""username"":""admin"",
""password"": ""password"",
""port"":1234,
""host"" :10.0.0.1,
""vendor"" : “invalid vendor”,
""model"": ""invalid model""
}
2. Check whether the storage is registered successfully.","1. In step 2, the storage device is unsuccessfully added. The status code of return is 400.
"
Register Storage ,Failed to register a storage device with invalid host or port,SIM_RM_0004,"1. SIM project installed
2. Storage device Available
","1. Call POST /v1/storages with invalid credentials body(host or port) to register a new storage device:
{ 
""username"":""admin"",
""password"": ""password"",
""port"":1234,
""host"" :10.0.0.1,
""vendor"" : “vendor”,
""model"": ""model""
}
2. Check whether the storage is registered successfully.","1. In step 2, the storage device is unsuccessfully added. The status code of return is 400.
"
Register Storage ,Failed to register a storage device which already exists in the system. ,SIM_RM_0005,"1. SIM project installed
2. Storage device Available
","1. Call POST /v1/storages with correct credentials body to register a an existing storage device:
{ 
""username"":""admin"",
""password"": ""password"",
""port"":1234,
""host"" :10.0.0.1,
""vendor"" : “vendor”,
""model"": ""model""
}
2. Check whether the storage is registered successfully.","1. In step 2, the storage device is unsuccessfully added. The status code of return is 400.
"
Remove Storage,Successfully remove an existing storage ,SIM_RM_0006,"1. SIM project installed
2. Storage device has been registered
","1. Call DELETE /v1/storages/<id> to remove storage.
2. Check whether all storage resources are automatically removed from system, storage resources include: device, storage storage, volume and so forth.","1. The storage device is successfully removed.
2. The storage resources(storage storage/volume/...) are automatically removed from system."
Remove Storage,Successfully remove a  storage that is being synchronized,SIM_RM_0007,"1. SIM project installed
2.  Storage device has been registered
","1. Call DELETE /v1/storages/<id> to remove storage.
2. Check whether all storage resources are automatically removed from system, storage resources include: device, storage storage, volume and so forth.","1. The storage device is successfully removed.
2. The storage resources(storage storage/volume/...) are automatically removed from system."
Remove Storage,Failed to remove a storage that does not exist,SIM_RM_0008,"1. SIM project installed
2.  Storage device has been registered(Optional)
","1. Call DELETE /v1/storages/<id> to remove storage which does not exit.
2. Check whether storage is removed unsuccessfully.",1. Failed to remove storage device.
List Storages,Successfully list all storages  registered,SIM_RM_0009,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/storages
2. Verify the result from storage for following fields
-vendor
-model
-firmware-version
-status
-capacity values
-serial number","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
List Storages,Succesfully list all storages by applying filter,SIM_RM_0010,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/storages ?<query_params>
try allowed query options and different combination of query params
2. Verify the result from storage following fields
-vendor
-model
-firmware-version
-status
-capacity values
-serial number","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
List Storages,Get empty List of  storages with wrong filter,SIM_RM_0011,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/storages ?<query_params>
try wrong query options and different combination of query params
2. Verify the result","1.In step2,  the code returned is 200 OK
2.empty list is returned"
List Storages,Get empty List of storages,SIM_RM_0012,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd[optional]","1. Call GET /v1/storages when No storage is registered
2.Repeat 1 when All storages are deleted
3. Verify the result","1.In step3,  the code returned is 200 OK
2.empty list is returned"
List pools,Successfully list all pools discovered,SIM_RM_0013,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/storage-pools
2. Verify the  result and validate below parameters
-status
- original pool id 
-capacity values","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
List pools,"Succesfully list all pools by applying filter
",SIM_RM_0014,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/storage-pools ?<query_params>
try allowed query options and different combination of query params] 
2. Verify the result and validate below parameters
-status
- original pool id 
-capacity values","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
List pools,Empty List of  storages with wrong filter,SIM_RM_0015,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/pools ?<query_params>
try wrong query options and different combination of query params] 
2. Verify the result","1.In step2,  the code returned is 200 OK
empty list is returned"
List pools,Empty List of pools ,SIM_RM_0016,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd[optional]","1. Call GET /v1/pools when No storage is registered
2.repeate step 1 when all l storages are deleted
3. Verify the result
","1.In step3,  the code returned is 200 OK
empty list is returned"
List volumes,Successfully list all volumes discovered,SIM_RM_0017,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/volumes
2. Verify the result and validate following fields from storage
-status
- original volume id 
- original storage id
-capacity values
","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
List volumes,Succesfully list all volumes  by applying filter,SIM_RM_0018,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/volumes ?<query_params>
try allowed query options and different combination of query params
2. Verify the result and  validate following fields from storage
-status
- original volume id 
- original storage id
-capacity values","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
