Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Results
List pool when backend is available/reachable,List pool ,DOCK_LVM_01,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl pool list,opensds-volumes should should be available
Create a volume when backend is available/reachable,Create a volume ,DOCK_LVM_02,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl volume create 1 --name=test-001,"volume should be created in the backend.
Check the backend using: lvs"
Create a volume when backend is not available/unreachable,Create a volume when backend is not available,DOCK_LVM_03,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl volume create 1 --name=test-001,volume should not be created
Create a volume when backend is available but corrupted,Create a volume when backend is corrupted,DOCK_LVM_04,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl volume create 1 --name=test-001,volume should not be created
create a thick volume when volsize <= free poolsize,create a thick volume when volsize <= free poolsize,DOCK_LVM_05,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl volume create 10 --name=test-001,volume should be created
create a thick volume when volsize > free poolsize,create a thick volume when volsize > free poolsize,DOCK_LVM_06,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl volume create 11 --name=test-001,volume should not be created
create a thick volume when volsize >= free poolsize <= max poolsize,create a thick volume when volsize >= free poolsize <= max poolsize,DOCK_LVM_07,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl volume create 11 --name=test-001,volume should not be created
create a thin volume when volsize <= free poolsize,create a thin volume when volsize <= free poolsize,DOCK_LVM_08,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl volume create 11 --name=test-001,volume should be created
create a thin volume when volsize > free poolsize,create a thin volume when volsize > free poolsize,DOCK_LVM_09,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl volume create 11 --name=test-001,volume should not be created
create a thin volume when volsize >= free poolsize <= max poolsize,create a thin volume when volsize >= free poolsize <= max poolsize,DOCK_LVM_10,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl volume create 11 --name=test-001,volume should not be created
"create a volume of size X Gb, write data on voume of size <= X Gb","create a volume of size X Gb, write data on voume of size <= X Gb",DOCK_LVM_11,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl volume create X --name=test-001,volume should be created and write should happen
"create a volume of size X Gb, write data on voume of size >= X Gb(low)","create a volume of size X Gb, write data on voume of size >= X Gb(low)",DOCK_LVM_12,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",,write should fail
create a volume when poolId is given,create a volume when poolId is given,DOCK_LVM_13,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",Use POSTMAN,Volume should be created
create a volume when poolId is not given,create a volume when poolId is not given,DOCK_LVM_14,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",Use POSTMAN,volume should be created with default profile
create a volume when given poolId is from different storageType,create a volume when given poolId is from different storageType,DOCK_LVM_15,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",Use POSTMAN,volume  creation should fail
Create a volume when it is already there in system with same name,Create a volume when it is already there in system with same name,DOCK_LVM_18,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl volume create 1 --name=test-001,volume should not be created with same name
Create a volume when it is already there in system with same id,Create a volume when it is already there in system with same id,DOCK_LVM_19,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",Use POSTMAN,volume should not be created with same Id
Create a volume when it is already there in system with same name and Id,Create a volume when it is already there in system with same name and Id,DOCK_LVM_20,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl volume create 1 --name=test-001,volume should be created
Create a volume when pool is available in OpenSDS but deleted from system[In between the pool discovery time],Create a volume when pool is available in OpenSDS but deleted from system,DOCK_LVM_21,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl volume create 1 --name=test-001,volume should not be created
Create a volume when volsize < poolsize in OpenSDS but in system poolsize < volsize [In between the pool discovery time],Create a volume when volsize < poolsize in OpenSDS but in system poolsize < volsize,DOCK_LVM_22,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl volume create 1 --name=test-001,volume should not be created
Create a volume when profile is deleted,profile is deleted,DOCK_LVM_24,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl volume create 1 --name=test-001,volume should not be created
Create a volume when pool is deleted,pool is deleted,DOCK_LVM_25,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl volume create 1 --name=test-001,volume should not be created
Create a volume when storagegroup is deleted,volume group is deleted,DOCK_LVM_26,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",osdsctl volume create 1 --name=test-001,volume should not be created
