Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Result
Create file share,"Create API testing with inputs name 'fileshare1', description 'file share test', size 3",FS_TC_01,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Create file share,Create file share name with empty file name,FS_TC_02,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Create file share,Create file share name with other encoding characters(except utf-8),FS_TC_03,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Create file share,Create file share name having special characters,FS_TC_04,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Create file share,Create file share name starts with numbers,FS_TC_05,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Create file share,Create file share name length more than 255 characters,FS_TC_06,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Create file share,Create file share description with empty string,FS_TC_07,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Create file share,Create file share with description having special characters,FS_TC_08,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Create file share,Create file share with description with more than 255 characters,FS_TC_09,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Create file share,"Create file share without required parameters like fileshare name, size",FS_TC_10,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Create file share,Create file share with size with -ve number,FS_TC_11," Opensds Application must be Installed & running 

",,
Create file share,Create file share with size with +ve number,FS_TC_12," Opensds Application must be Installed & running 

",,
Create file share,Create file share Size given more than total capacity of disk,FS_TC_13," Opensds Application must be Installed & running 

",,
Create file share,Create file share Size with 0 ,FS_TC_14," Opensds Application must be Installed & running 

",,
Create file share,Create file share by specifying the File Share Id,FS_TC_15," Opensds Application must be Installed & running 

",,
Create file share,Create file share by specifying the Profile id,FS_TC_16," Opensds Application must be Installed & running 

",,
Create file share,Create file share by without specifying Profile Id,FS_TC_17," Opensds Application must be Installed & running 

",,
Create file share,Create file share by specifying wrong profile Id,FS_TC_18," Opensds Application must be Installed & running 

",,
Create file share,Create file share by specifying Availability zone name,FS_TC_19,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Create file share,Create file share by specifying wrong Availability zone name,FS_TC_20,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Create file share,Create file share by specifying unknown Availability zone name,FS_TC_21,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Update file share,Update file share name within 255 characters,FS_TC_22,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Update file share,Update file share name with empty string,FS_TC_23,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Update file share,Update file share name with special character string,FS_TC_24,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Update file share,Update file share name length greater than 255 characters,FS_TC_25,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Update file share,Update file share Description with empty string,FS_TC_26,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Update file share,Update file share Description with special characters,FS_TC_27,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Update file share,Update file share Description length more than 255 characters,FS_TC_28,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Update file share,Update file share Description with non utf-8 code characters,FS_TC_29,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Update file share,Update file share with wrong File Share Id,FS_TC_30,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Delete file share,Delete file share by specifying FileShare ID,FS_TC_31,same as above,,
Delete file share,Delete file share by specifying wrong/non existing FileShare ID,FS_TC_32,same as above,,
Get file share,Get file share by specifying FileShareID,FS_TC_33,same as above,,
Get file share,Get file share by specifying wrong/non-existing FileShareID,FS_TC_34,same as above,,
List file shares,List all file shares,FS_TC_35,same as above,,
Create file share snapshot,"Create snapshot for file share with inputs name 'snpa1', description 'file share snapshot test', profileId",FS_TC_36,same as above,,
Create file share snapshot,Create file share snapshot name with empty file name,FS_TC_37,same as above,,
Create file share snapshot,Create file share snapshot name with other encoding characters(except utf-8),FS_TC_38,same as above,,
Create file share snapshot,Create file share snapshot name having special characters,FS_TC_39,same as above,,
Create file share snapshot,Create file share snapshot name starts with numbers,FS_TC_40,same as above,,
Create file share snapshot,Create file share snapshot name length more than 255 characters,FS_TC_41,same as above,,
Create file share snapshot,Create file share snapshot description with empty string,FS_TC_42,same as above,,
Create file share snapshot,Create file share snapshot with description having special characters,FS_TC_43,"1. NFS server packages should be installed.
2. Opensds Application must be Installed & running 

",,
Create file share snapshot,Create file share snapshot with description with more than 255 characters,FS_TC_44,same as above,,
Create file share snapshot,Create file share snapshot without required parameters like fileshare Id,FS_TC_45,same as above,,
Create file share snapshot,Create file share snapshot by specifying the Profile id,FS_TC_46,same as above,,
Create file share snapshot,Create file share snapshot by specifying Profile Id,FS_TC_47,same as above,,
Create file share snapshot,Create file share snapshot by specifying wrong/non-existing profile Id,FS_TC_48,same as above,,
Update file share,Update file share snapshot name with empty string,FS_TC_49,same as above,,
Update file share,Update file share snapshot name with special character string,FS_TC_50,same as above,,
Update file share,Update file share snapshot name length greater than 255 characters,FS_TC_51,same as above,,
Update file share,Update file share snapshot Description with empty string,FS_TC_52,same as above,,
Update file share,Update file share snapshot Description with special characters,FS_TC_53,same as above,,
Update file share,Update file share snapshot Description length more than 255 characters,FS_TC_54,same as above,,
Update file share,Update file share snapshot Description with non utf-8 code characters,FS_TC_55,same as above,,
Update file share,Update file share snapshot with wrong File Share Id,FS_TC_56,same as above,,
Delete file share,Delete file share snapshot by specifying FileShare ID,FS_TC_57,same as above,,
Delete file share,Delete file share snapshot by specifying wrong/non existing FileShare ID,FS_TC_58,same as above,,
Get file share,Get file share snapshot by specifying FileShareID,FS_TC_59,same as above,,
Get file share,Get file share snapshot by specifying wrong/non-existing FileShareID,FS_TC_60,same as above,,
List file shares,List all file share snapshots,FS_TC_61,same as above,,
Create access,Create the access to a valid IP,FS_TC_62,same as above,,
Create access,Create the access to a Invalid IP,FS_TC_63,same as above,,
Create access,"Create the access to a valid IP segment, EX: 10.0.0.0/10",FS_TC_64,same as above,,
Create access,Create the access to a Invalid IP segmant EX: 10.0.0.0/40,FS_TC_65,same as above,,
Get access by Id,Get access by Id,FS_TC_66,same as above,,
Get access by Id,Get access by Invalid Id,FS_TC_67,same as above,,
Delete access by Id,Delete access by Id,FS_TC_68,same as above,,
Delete access by Id,Delete access by Invalid Id,FS_TC_69,same as above,,
List accesses,List all access,FS_TC_70,same as above,,
Create file profile,"Create file profile by specifying name, storage type, description",FS_TC_71,same as above,,
Get file profile,Get file profile,FS_TC_72,same as above,,
Create file share ,"Create file share by specifying name, description, size, profileId",FS_TC_73,same as above,,
Delete file share,Delete file share by specified file share Id,FS_TC_74,same as above,,
Get file share ,Get file share by specifying file share Id,FS_TC_75,same as above,,
List file shares,List all file shares,FS_TC_76,same as above,,
Update file share,Update file share by updating name and description,FS_TC_77,same as above,,
Create file share Acl,"Create file share Acl by specifying description, profileId, Type, AccessCapability, AccessTo, FileShareId",FS_TC_78,same as above,,
Get file share Acl,Get file share Acl by specifying file share Id,FS_TC_79,same as above,,
List file share Acls,List file share Acls,FS_TC_80,same as above,,
