Feature,Title,Description,TestcaseId,Steps,Expected
SSE-CREATE BUCKET,SSE_CreateEncryptedBucket_AWS,OSDS build is installed,DLM_TC_01,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Call list buckets
","In the response of list buckets, for 'encb', the SSE option is enabled
"
SSE-CREATE BUCKET_DASHBOARD,SSE_CreateEncryptedBucket_AWS,OSDS build is installed,DLM_TC_02,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Call list buckets
","In the response of list buckets, for 'encb', the SSE option is enabled
"
SSE-LIST BUCKET,SSE_ListBucket_AWS,OSDS build is installed,DLM_TC_03,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Create a bucket 'nonenc' in the backend, with SSE disabled
4. Call list buckets","1. In the response of list buckets, for 'encb', the SSE option is enabled
2. For 'nonenc', the SSE option is false"
SSE-PUT OBJECT,SSE_PutObject_AWS,OSDS build is installed,DLM_TC_04,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload a text file < 5MB to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend","1. File is uploaded successfully to the encrypted bucket
2. in the cloud backend, the file is NOT an ascii file, it is encrypted, the contents are not ascii readable"
SSE-MULTIPART PUT,SSE_PutObject_Multipart_AWS,OSDS build is installed,DLM_TC_05,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload a text file > 5MB to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend","1. File is uploaded successfully to the encrypted bucket, by multipart upload (this can be checked from the logs)
2. in the cloud backend, the file is NOT an ascii file, it is encrypted, the contents are not ascii readable"
SSE-PUT OBJECT,SSE_PutObject_Image_AWS,OSDS build is installed,DLM_TC_06,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload an image file (binary) to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend","1. File is uploaded successfully to the encrypted bucket, by (multipart) upload (this can be checked from the logs)
2. in the cloud backend, the file is NOT viewable as an image, it is encrypted, the contents are not viewable in an image viewer after downloading from the cloud console"
SSE-GET OBJECT,SSE_GetObject_ascii_AWS,OSDS build is installed,DLM_TC_07,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload a text file < 5MB to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend
5. Download this object (GET)","1. File is uploaded successfully to the encrypted bucket
2. in the cloud backend, the file is NOT an ascii file, it is encrypted, the contents are not ascii readable
3. after download, the file is readable, since it has been decrypted"
SSE-MULTIPART GET,SSE_GetObject_Large_AWS,OSDS build is installed,DLM_TC_08,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload a text file > 5MB to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend
5. Download this object (GET)","1. File is uploaded successfully to the encrypted bucket, by multipart upload (this can be checked from the logs)
2. in the cloud backend, the file is NOT an ascii file, it is encrypted, the contents are not ascii readable
3. after download, the file is readable, since it has been decrypted"
SSE-GET OBJECT,SSE_GetObject_Image_AWS,OSDS build is installed,DLM_TC_09,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload an image file (binary) to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend
5. Download this object (GET)","1. File is uploaded successfully to the encrypted bucket, by (multipart) upload (this can be checked from the logs)
2. in the cloud backend, the file is NOT viewable as an image, it is encrypted, the contents are not viewable in an image viewer after downloading from the cloud console
3. after download, the image file is viewable, since it has been decrypted"
SSE-CREATE BUCKET,SSE_CreateEncryptedBucket_HOBS,OSDS build is installed,DLM_TC_10,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Call list buckets
","In the response of list buckets, for 'encb', the SSE option is enabled
"
SSE-LIST BUCKET,SSE_ListBucket_HOBS,OSDS build is installed,DLM_TC_11,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Create a bucket 'nonenc' in the backend, with SSE disabled
4. Call list buckets","1. In the response of list buckets, for 'encb', the SSE option is enabled
2. For 'nonenc', the SSE option is false"
SSE-PUT OBJECT,SSE_PutObject_HOBS,OSDS build is installed,DLM_TC_12,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload a text file < 5MB to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend","1. File is uploaded successfully to the encrypted bucket
2. in the cloud backend, the file is NOT an ascii file, it is encrypted, the contents are not ascii readable"
SSE-MULTIPART PUT,SSE_PutObject_Multipart_HOBS,OSDS build is installed,DLM_TC_13,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload a text file > 5MB to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend","1. File is uploaded successfully to the encrypted bucket, by multipart upload (this can be checked from the logs)
2. in the cloud backend, the file is NOT an ascii file, it is encrypted, the contents are not ascii readable"
SSE-PUT OBJECT,SSE_PutObject_Image_HOBS,OSDS build is installed,DLM_TC_14,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload an image file (binary) to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend","1. File is uploaded successfully to the encrypted bucket, by (multipart) upload (this can be checked from the logs)
2. in the cloud backend, the file is NOT viewable as an image, it is encrypted, the contents are not viewable in an image viewer after downloading from the cloud console"
SSE-GET OBJECT,SSE_GetObject_ascii_HOBS,OSDS build is installed,DLM_TC_15,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload a text file < 5MB to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend
5. Download this object (GET)","1. File is uploaded successfully to the encrypted bucket
2. in the cloud backend, the file is NOT an ascii file, it is encrypted, the contents are not ascii readable
3. after download, the file is readable, since it has been decrypted"
SSE-MULTIPART GET,SSE_GetObject_Large_HOBS,OSDS build is installed,DLM_TC_16,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload a text file > 5MB to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend
5. Download this object (GET)","1. File is uploaded successfully to the encrypted bucket, by multipart upload (this can be checked from the logs)
2. in the cloud backend, the file is NOT an ascii file, it is encrypted, the contents are not ascii readable
3. after download, the file is readable, since it has been decrypted"
SSE-GET OBJECT,SSE_GetObject_Image_HOBS,OSDS build is installed,DLM_TC_17,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload an image file (binary) to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend
5. Download this object (GET)","1. File is uploaded successfully to the encrypted bucket, by (multipart) upload (this can be checked from the logs)
2. in the cloud backend, the file is NOT viewable as an image, it is encrypted, the contents are not viewable in an image viewer after downloading from the cloud console
3. after download, the image file is viewable, since it has been decrypted"
SSE-CREATE BUCKET,SSE_CreateEncryptedBucket_GCP,OSDS build is installed,DLM_TC_18,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Call list buckets
","In the response of list buckets, for 'encb', the SSE option is enabled
"
SSE-LIST BUCKET,SSE_ListBucket_GCP,OSDS build is installed,DLM_TC_19,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Create a bucket 'nonenc' in the backend, with SSE disabled
4. Call list buckets","1. In the response of list buckets, for 'encb', the SSE option is enabled
2. For 'nonenc', the SSE option is false"
SSE-PUT OBJECT,SSE_PutObject_GCP,OSDS build is installed,DLM_TC_20,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload a text file < 5MB to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend","1. File is uploaded successfully to the encrypted bucket
2. in the cloud backend, the file is NOT an ascii file, it is encrypted, the contents are not ascii readable"
SSE-MULTIPART PUT,SSE_PutObject_Multipart_GCP,OSDS build is installed,DLM_TC_21,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload a text file > 5MB to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend","1. File is uploaded successfully to the encrypted bucket, by multipart upload (this can be checked from the logs)
2. in the cloud backend, the file is NOT an ascii file, it is encrypted, the contents are not ascii readable"
SSE-PUT OBJECT,SSE_PutObject_Image_GCP,OSDS build is installed,DLM_TC_22,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload an image file (binary) to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend","1. File is uploaded successfully to the encrypted bucket, by (multipart) upload (this can be checked from the logs)
2. in the cloud backend, the file is NOT viewable as an image, it is encrypted, the contents are not viewable in an image viewer after downloading from the cloud console"
SSE-GET OBJECT,SSE_GetObject_ascii_GCP,OSDS build is installed,DLM_TC_23,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload a text file < 5MB to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend
5. Download this object (GET)","1. File is uploaded successfully to the encrypted bucket
2. in the cloud backend, the file is NOT an ascii file, it is encrypted, the contents are not ascii readable
3. after download, the file is readable, since it has been decrypted"
SSE-MULTIPART GET,SSE_GetObject_Large_GCP,OSDS build is installed,DLM_TC_24,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload a text file > 5MB to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend
5. Download this object (GET)","1. File is uploaded successfully to the encrypted bucket, by multipart upload (this can be checked from the logs)
2. in the cloud backend, the file is NOT an ascii file, it is encrypted, the contents are not ascii readable
3. after download, the file is readable, since it has been decrypted"
SSE-GET OBJECT,SSE_GetObject_Image_GCP,OSDS build is installed,DLM_TC_25,"1. Add a backend
2. Create a bucket 'encb' in the backend, with SSE enabled
3. Upload an image file (binary) to this bucket, example, a.txt
4. Check the contents of this uploaded file in the cloud backend
5. Download this object (GET)","1. File is uploaded successfully to the encrypted bucket, by (multipart) upload (this can be checked from the logs)
2. in the cloud backend, the file is NOT viewable as an image, it is encrypted, the contents are not viewable in an image viewer after downloading from the cloud console
3. after download, the image file is viewable, since it has been decrypted"
