Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Result
SSE test randomness of 32 bit key,"SSE_TestGetRandom32BitKey
",TestGetRandom32BitKey,None,"Call method 'GetRandom32BitKey()' in a loop, 'n' times. Save all the 'n' 32 bit key values","None of the 'n' generated 32 bit keys are the same, all are unique"
"SSE test encrypt original string, followed by decrypt, to get back original string",SSE_TestEncAndDec,TestEncAndDec,None,"Take any string ""abcd"". Now, call method 'EncryptWithAES256RandomKey' to encrypt this. With the encrypted byte[], call method 'DecryptWithAES256'","The original string ""abcd"" is got back after encrypt-decrypt sequence with no change in the value of the string"
To test bucket creation with SSE option,SSE Create Bucket with Encryption,SSE_CreateBucket_Enc,"Cloud backend is added
","Create a bucket 'b' with the SSE option selected. After creation, check this bucket 'b' by listing the buckets, for the encryption (SSE) option","On listing all the buckets, the Encryption is shown as Enabled (with text and icon) for this bucket 'b'"
To test object upload on encrypted bucket,SSE Upload object with Encryption,SSE_UploadObj_Enc,SSE_CreateBucket_Enc,"In the bucket 'b', upload a .txt file or any ascii readable content
 in a file","Check this file, on the cloud backend. Try to view it, it should be encrypted and not readable"
To test object download on encrypted bucket,SSE Download object with Encryption,SSE_DownloadObj_Enc,SSE_UploadObj_Enc,"In the bucket 'b', upload a .txt file or any ascii readable content
 in a file","Check this file, on the cloud backend. Try to download and view it, it should be encrypted and not readable. Now, download the file in OSDS, view it. It should be decrypted and readable"
To test object upload on non-encrypted bucket,SSE Upload object with No Encryption,SSE_UploadObj_NoEnc,SSE_CreateBucket_Enc,"On bucket 'b', modify the SSE setting to NONE. In the bucket 'b', upload a .txt file or any ascii readable content
 in a file","Check this file, on the cloud backend. Try to view it, it should be encrypted and  readable"
To test SSE on HWS,SSE HWS,SSE_HWS,"SSE_CreateBucket_Enc,SSE_UploadObj_Enc,SSE_DownloadObj_Enc,SSE_UploadObj_NoEnc","Repeat SSE_CreateBucket_Enc,SSE_UploadObj_Enc,SSE_DownloadObj_Enc,SSE_UploadObj_NoEnc on HWS","Each test case ofSSE_CreateBucket_Enc,SSE_UploadObj_Enc,SSE_DownloadObj_Enc,SSE_UploadObj_NoEnc has same behavior on HWS"
To test SSE on GCP,SSE GCP,SSE_GCP,"SSE_CreateBucket_Enc,SSE_UploadObj_Enc,SSE_DownloadObj_Enc,SSE_UploadObj_NoEnc","Repeat SSE_CreateBucket_Enc,SSE_UploadObj_Enc,SSE_DownloadObj_Enc,SSE_UploadObj_NoEnc on GCP","Each test case ofSSE_CreateBucket_Enc,SSE_UploadObj_Enc,SSE_DownloadObj_Enc,SSE_UploadObj_NoEnc has same behavior on GCP"
To test SSE on Azure,SSE Azure,SSE_Azure,"SSE_CreateBucket_Enc,SSE_UploadObj_Enc,SSE_DownloadObj_Enc,SSE_UploadObj_NoEnc","Repeat SSE_CreateBucket_Enc,SSE_UploadObj_Enc,SSE_DownloadObj_Enc,SSE_UploadObj_NoEnc on Azure","Each test case ofSSE_CreateBucket_Enc,SSE_UploadObj_Enc,SSE_DownloadObj_Enc,SSE_UploadObj_NoEnc has same behavior on Azure"
To test SSE on CEPH,SSE CEPH,SSE_CEPH,"SSE_CreateBucket_Enc,SSE_UploadObj_Enc,SSE_DownloadObj_Enc,SSE_UploadObj_NoEnc","Repeat SSE_CreateBucket_Enc,SSE_UploadObj_Enc,SSE_DownloadObj_Enc,SSE_UploadObj_NoEnc on CEPH","Each test case ofSSE_CreateBucket_Enc,SSE_UploadObj_Enc,SSE_DownloadObj_Enc,SSE_UploadObj_NoEnc has same behavior on CEPH"
