Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Result
"ADD BACKEND
",ADD_BACKEND_AWS,OSDS build is installed,"1. Add a AWS backend, giving valid inputs for region, endpoint, bucket, AK-SK","1. Backend is added in OpenSDS, is returned in the call to list backends"
"ADD BACKEND
",ADD_BACKEND (negative),OSDS build is installed,"1. Add a AWS backend, giving valid inputs for endpoint, bucket, AK-SK, invalid input for region","1. backend is not added in OSDS, error message is returned"
"ADD BACKEND
",ADD_BACKEND (negative),OSDS build is installed,"1. Add a AWS backend, giving valid inputs for region, bucket, AK-SK, invalid input for endpoint","1. backend is not added in OSDS, error message is returned"
"ADD BACKEND
",ADD_BACKEND (negative),OSDS build is installed,"1. Add a AWS backend, giving valid inputs for region, endpoint, AK-SK, invalid input for bucket","1. backend is not added in OSDS, error message is returned"
"ADD BACKEND
",ADD_BACKEND (negative),OSDS build is installed,"1. Add a AWS backend, giving valid inputs for endpoint, bucket, invalid input for AK-SK","1. backend is not added in OSDS, error message is returned"
"ADD BACKEND
",ADD_BACKEND_GCP,OSDS build is installed,"1. Add a GCP backend, giving valid inputs for region, endpoint, bucket, AK-SK","1. Backend is added in OpenSDS, is returned in the call to list backends"
"ADD BACKEND
",ADD_BACKEND_Azure,OSDS build is installed,"1. Add a Azure backend, giving valid inputs for region, endpoint, bucket, AK-SK","1. Backend is added in OpenSDS, is returned in the call to list backends"
"ADD BACKEND
",ADD_BACKEND_HOBS,OSDS build is installed,"1. Add a Huawei OBS backend, giving valid inputs for region, endpoint, bucket, AK-SK","1. Backend is added in OpenSDS, is returned in the call to list backends"
"ADD BACKEND
",ADD_BACKEND_YIG-CEPH,OSDS build is installed,"1. Add a YIG-CEPH backend, giving valid inputs for region","1. Backend is added in OpenSDS, is returned in the call to list backends"
LIST BACKEND,LIST_BACKEND,OSDS build is installed,"1. Add 2 AWS backends, one GCP backend
2. Call list backends","1. Return value includes 3 backend details, 2 AWS and one GCP
"
DELETE BACKEND,DELETE_BACKEND,OSDS build is installed,"1. Add 2 AWS backends, one GCP backend
2. Call DELETE backends, with one of the AWS backend ID
3. Call list backends","1. Delete backend call should return 200 OK
2. Response of list backend includes 2 backends, one AWS and one GCP"
CREATE BUCKET,CREATE_BUCKET_AWS,OSDS build is installed,"1. Add a AWS backend, giving valid inputs for region, endpoint, bucket (""b""), AK-SK
2. Now, call Create bucket, with bucket name b1, no encryption, no versioning, on the AWS backend
3. Call List buckets for the AWS backend","1. Create bucket should return 200 OK
2. Login to the cloud backend console (using the backend cloud credentials), in the bucket ""b"", there should be a folder ""b1""
3. call to List buckets, must return the bucket b1"
CREATE BUCKET,CREATE_BUCKET_GCP,OSDS build is installed,"1. Add a GCP backend, giving valid inputs for region, endpoint, bucket (""b""), AK-SK
2. Now, call Create bucket, with bucket name b1, no encryption, no versioning, on the GCP backend
3. Call List buckets for the GCP backend","1. Create bucket should return 200 OK
2. Login to the cloud backend console (using the backend cloud credentials), in the bucket ""b"", there should be a folder ""b1""
3. call to List buckets, must return the bucket b1"
CREATE BUCKET,CREATE_BUCKET_Azure,OSDS build is installed,"1. Add a Azure backend, giving valid inputs for region, endpoint, bucket (""b""), AK-SK
2. Now, call Create bucket, with bucket name b1, no encryption, no versioning, on the Azure backend
3. Call List buckets for the Azure backend","1. Create bucket should return 200 OK
2. Login to the cloud backend console (using the backend cloud credentials), in the bucket ""b"", there should be a folder ""b1""
3. call to List buckets, must return the bucket b1"
