Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Result
K8S CSI block plugin installation,CSI-BLOCK-PLUGIN-INSTALL,NBP_CSI_BLOCK_001,1. lvm and nfs are used as backend (enabled by default in installer),"1) bringup K8S cluster
(https://github.com/opensds/opensds/wiki/OpenSDS-Integration-with-Kubernetes-CSI)
2. Bring up OpenSDS components
(https://github.com/opensds/opensds/wiki/OpenSDS-Cluster-Installation-through-Ansible)","1. Verify that CSI block plugin is installed and below pods are up and running
> csi-attacher-opensdsplugin-block-0
> csi-nodeplugin-opensdsplugin-block-xxxxxxxx
> csi-provisioner-opensdsplugin-block-0
> csi-snapshotter-opensdsplugin-block-0

(kubectl get pods)"
K8S CSI block plugin uninstallation,CSI-BLOCK-PLUGIN-UNINSTALL,NBP_CSI_BLOCK_002,1. lvm and nfs are  used as backend (enabled by default in installer),"1) bringup K8S cluster
(https://github.com/opensds/opensds/wiki/OpenSDS-Integration-with-Kubernetes-CSI)
2. Bring up OpenSDS components
(https://github.com/opensds/opensds/wiki/OpenSDS-Cluster-Installation-through-Ansible)
3.Uninstall csi block plugin
 (kubectl delete -f /opt/opensds-sushi-linux-amd64/csi/deploy/kubernetes/block)","1. Verify that CSI block plugin uninstalled and below pods are terminated
> csi-attacher-opensdsplugin-block-0
> csi-nodeplugin-opensdsplugin-block-xxxxxxxx
> csi-provisioner-opensdsplugin-block-0
> csi-snapshotter-opensdsplugin-block-0

(kubectl get pods)"
K8S CSI block plugin installation when host does not exist,CSI-BLOCK-PLUGIN-INSTALL-HOST-NOT-FOUND,NBP_CSI_BLOCK_003,1. lvm and nfs are used as backend (enabled by default in installer),"1) bringup K8S cluster
(https://github.com/opensds/opensds/wiki/OpenSDS-Integration-with-Kubernetes-CSI)
2. Bring up OpenSDS components
(https://github.com/opensds/opensds/wiki/OpenSDS-Cluster-Installation-through-Ansible)
3. This will bring up csi block plugin and host will be added if not found. Bring down csi plugin
 (kubectl delete -f /opt/opensds-sushi-linux-amd64/csi/deploy/kubernetes/block)
4. Through dashboard, Delete a host with hostname of current node
5. Bring up csi block plugin again","1. Verify that CSI block plugin is started again and below pods are up and running
> csi-attacher-opensdsplugin-block-0
> csi-nodeplugin-opensdsplugin-block-xxxxxxxx
> csi-provisioner-opensdsplugin-block-0
> csi-snapshotter-opensdsplugin-block-0

(kubectl get pods)"
K8S CSI block plugin installation when host already exist,CSI-BLOCK-PLUGIN-INSTALL-HOST-ALREADY-EXISTS,NBP_CSI_BLOCK_004,1. lvm and nfs are used as backend (enabled by default in installer),"1) bringup K8S cluster
(https://github.com/opensds/opensds/wiki/OpenSDS-Integration-with-Kubernetes-CSI)
2. Bring up OpenSDS components
(https://github.com/opensds/opensds/wiki/OpenSDS-Cluster-Installation-through-Ansible)
3. This will bring up csi block plugin and host will be added if not found. Bring down csi plugin
 (kubectl delete -f /opt/opensds-sushi-linux-amd64/csi/deploy/kubernetes/block)
4. Bring up csi block plugin again","1. Verify that CSI block plugin is started again and below pods are up and running
> csi-attacher-opensdsplugin-block-0
> csi-nodeplugin-opensdsplugin-block-xxxxxxxx
> csi-provisioner-opensdsplugin-block-0
> csi-snapshotter-opensdsplugin-block-0

(kubectl get pods)"
K8S CSI block plugin installation through helm chart,CSI-BLOCK-PLUGIN-INSTALL-HELM-CHARTS,NBP_CSI_BLOCK_005,1. lvm and nfs are used as backend (enabled by default in installer),"1) bringup K8S cluster
(https://github.com/opensds/opensds/wiki/OpenSDS-Integration-with-Kubernetes-CSI)
2. Bring up OpenSDS components with K8S through charts
https://github.com/opensds/opensds-installer/blob/master/charts/OpenSDS%20Installation%20using%20Helm.md","1. Verify that CSI block plugin is started again and below pods are up and running
> csi-attacher-opensdsplugin-block-0
> csi-nodeplugin-opensdsplugin-block-xxxxxxxx
> csi-provisioner-opensdsplugin-block-0
> csi-snapshotter-opensdsplugin-block-0

(kubectl get pods)"
K8S CSI block plugin uninstallation through helm chart,CSI-BLOCK-PLUGIN-UNINSTALL-HELM-CHARTS,NBP_CSI_BLOCK_006,1. lvm and nfs are used as backend (enabled by default in installer),"1) bringup K8S cluster
(https://github.com/opensds/opensds/wiki/OpenSDS-Integration-with-Kubernetes-CSI)
2. Bring up OpenSDS components with K8S through charts
https://github.com/opensds/opensds-installer/blob/master/charts/OpenSDS%20Installation%20using%20Helm.md

3. Uninstall csi block plugin through charts","1. Verify that CSI block plugin is uninstalled and below pods are terminated
> csi-attacher-opensdsplugin-block-0
> csi-nodeplugin-opensdsplugin-block-xxxxxxxx
> csi-provisioner-opensdsplugin-block-0
> csi-snapshotter-opensdsplugin-block-0

(kubectl get pods)"
K8S CSI block plugin reinstallation,CSI-BLOCK-PLUGIN-REINSTALL,NBP_CSI_BLOCK_007,"1. K8S cluster is up and running
(https://github.com/opensds/opensds/wiki/OpenSDS-Integration-with-Kubernetes-CSI)

2. OpenSDS is deployed & running
(https://github.com/opensds/opensds/wiki/OpenSDS-Cluster-Installation-through-Ansible)

3. lvm and nfs are used as backend (enabled by default in installer)","1) Uninstall csi block plugin
 (kubectl delete -f /opt/opensds-sushi-linux-amd64/csi/deploy/kubernetes/block)
2) Reinstall csi block plugin
 (kubectl create -f /opt/opensds-sushi-linux-amd64/csi/deploy/kubernetes/block)","1. Verify that CSI block plugin uninstalled and below pods are terminated after step 1
21. Verify that CSI block plugin is re-installed and below pods are up and running
> csi-attacher-opensdsplugin-block-0
> csi-nodeplugin-opensdsplugin-block-xxxxxxxx
> csi-provisioner-opensdsplugin-block-0
> csi-snapshotter-opensdsplugin-block-0

(kubectl get pods)"
"K8S workload creation with CSI 
Block plugin",POD-CREATION-BLOCK-VOLUME,NBP_CSI_BLOCK_008,"1. K8S cluster is up and running
(https://github.com/opensds/opensds/wiki/OpenSDS-Integration-with-Kubernetes-CSI)

2. OpenSDS is deployed & running
(https://github.com/opensds/opensds/wiki/OpenSDS-Cluster-Installation-through-Ansible)

3. lvm and nfs are used as backend (enabled by default in installer)","1. Create profile with stortage type as “block”
2. Update profile id in pod yaml (/opt/opensds-sushi-linux-amd64/ 
Csi/examples/kubernetes/block/nginx.yaml)
3. Create kubernetes pod 
(kubectl create -f csi/examples/kubernetes/block/nginx.yaml)","1. Verify that nginx pod is up and running (Kubectl get pods )
2. Verify the volume attached in pod by entering inside container
(kubectl exec -ti nginx-block /bin/bash and execute “df -h”)
3. Verify the volume is inuse state at opensds side
(osdsctl volume list)"
"K8S workload deletion with CSI 
Block plugin",POD-DELETION-BLOCK-VOLUME,NBP_CSI_BLOCK_009,"1. K8S cluster is up and running
(https://github.com/opensds/opensds/wiki/OpenSDS-Integration-with-Kubernetes-CSI)

2. OpenSDS is deployed & running
(https://github.com/opensds/opensds/wiki/OpenSDS-Cluster-Installation-through-Ansible)

3. lvm and nfs are used as backend (enabled by default in installer)","1. Create profile with stortage type as “block”
2. Update profile id in pod yaml (/opt/opensds-sushi-linux-amd64/ 
Csi/examples/kubernetes/block/nginx.yaml)
3. Create kubernetes pod along with pvc/storageclass
(kubectl create -f csi/examples/kubernetes/block/nginx.yaml)
4. Once it is Running, delete the pods along with pvc/storageclass
(kubectl delete -f csi/examples/kubernetes/block/nginx.yaml)","1. Verify that nginx pod is terminated (Kubectl get pods )
2. Verify that volume is deleted at opensds side (osdsctl volume list)"
"K8S workload restart with CSI 
Block plugin",POD-RESTART-BLOCK-VOLUME,NBP_CSI_BLOCK_010,"1. K8S cluster is up and running
(https://github.com/opensds/opensds/wiki/OpenSDS-Integration-with-Kubernetes-CSI)

2. OpenSDS is deployed & running
(https://github.com/opensds/opensds/wiki/OpenSDS-Cluster-Installation-through-Ansible)","1. Create profile with stortage type as “block”
2. Update profile id in pod yaml (/opt/opensds-sushi-linux-amd64/ 
Csi/examples/kubernetes/block/nginx.yaml)
3. Create kubernetes pod along with pvc/storageclass
(kubectl create -f csi/examples/kubernetes/block/nginx.yaml)
4. Once it is Running, delete the just pod keeping pvc/storageclass
(kubectl delete pods nginx-block)
5. Create the pod again
(kubectl create -f csi/examples/kubernetes/block/nginx.yaml)","1. Verify that nginx pod is terminated after step 4
2. Verify that volume is still present at opensds side after step 4
(osdsctl volume list)
3. Verify that nginx pod is up and running after step 5
(Kubectl get pods )
4. Verify that volume present at opensds side after step 4 is
 reused after step 5
(osdsctl volume list)"
