Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Result
Build NGC Package,Build Plugin Package,NBP_VMWARE_STORAGE_0,1.NBP repository cloned/downloaded,"1.Follow OpenSDS_NGC_Compilation_Guide.md
2. Unpack NGC-Register-1.0.0 and verify below files are present
app
bin
conf
readme.txt
Plugin/plugins/Adpate_manager
Plugin/plugins/ngc_service
Plugin/plugins/ngc_ui
Plugin/plugins/vim25
","1.Build successfull and NGC-Register-1.0.0.zip is created
2.All files are presnt in the package"
Validate Plugin Properties,Get Plugin Properties(valid inputs),NBP_VMWARE_STORAGE_1,"1. Plugin package is built
2. Test environment (eclipse ) is available
3.. Test Config file updated
",1. Run Test script/Function ,1. Test Script Return Success
Validate Plugin Properties,Get Plugin Properties(invalid inputs),NBP_VMWARE_STORAGE_2,"1. Plugin package is built
2. Test environment (eclipse ) is available
3.. Test Config file updated
",1. Run Test script/Function ,1. Test Script Return Success
Validate Plugin Properties,Check Register Parameters (valid inputs),NBP_VMWARE_STORAGE_3,"1. Plugin package is built
2. Test environment (eclipse ) is available
3.. Test Config file updated
",1. Run Test script/Function ,1. Test Script Return Success
Validate Plugin Properties,Check Register Parameters (invalid inputs),NBP_VMWARE_STORAGE_4,"1. Plugin package is built
2. Test environment (eclipse ) is available
3.. Test Config file updated
",1. Run Test script/Function ,1. Test Script Return Success
Validate PAckage ZIP File,Check ZIP file,NBP_VMWARE_STORAGE_5,"1. Plugin package is built
2. Test environment (eclipse ) is available
3.. Test Config file updated
",1. Run Test script/Function ,1. Test Script Return Success
Vcenter Connection,Create extension in Vcenter when opensds extension is not available,NBP_VMWARE_STORAGE_6,"1. Plugin package is built
2. Test environment (eclipse ) is available
3.. Test Config file updated
",1. Run Test script/Function ,1. Test Script Return Success
Vcenter Connection,Create Extension in Vcenter when opensds extension is already available,NBP_VMWARE_STORAGE_7,"1. Plugin package is built
2. Test environment (eclipse ) is available
3.. Test Config file updated
",1. Run Test script/Function ,1. Test Script Return Success
Vcenter Connection,get event and task extension resource from xml(valid inputs),NBP_VMWARE_STORAGE_8,"1. Plugin package is built
2. Test environment (eclipse ) is available
3.. Test Config file updated
",1. Run Test script/Function ,1. Test Script Return Success
Vcenter Connection,get event and task extension resource from xml(invalid inputs),NBP_VMWARE_STORAGE_9,"1. Plugin package is built
2. Test environment (eclipse ) is available
3.. Test Config file updated
",1. Run Test script/Function ,1. Test Script Return Success
Vcenter Connection,Connect to Vcenter Server(valid inputs),NBP_VMWARE_STORAGE_10,"1. Plugin package is built
2. Test environment (eclipse ) is available
3.. Test Config file updated
",1. Run Test script/Function ,1. Test Script Return Success
Vcenter Connection,Connect to Vcenter Server(invalid inputs),NBP_VMWARE_STORAGE_11,"1. Plugin package is built
2. Test environment (eclipse ) is available
3.. Test Config file updated
",1. Run Test script/Function ,1. Test Script Return Success
File Path,Check Fie paths for required settings and propperties file,NBP_VMWARE_STORAGE_12,"1. Plugin package is built
2. Test environment (eclipse ) is available
3.. Test Config file updated
",1. Run Test script/Function ,1. Test Script Return Success
Register ,Register Storage Plugin fresh( valid inputs),NBP_VMWARE_STORAGE_13,"1.vCenter server is setup and accessible
2.User is able to login vSphere Web Client
3.Plugin package has been built
","Step 1 Copy the Storage plug-in installation package to a directory on the Windows operating system, such as D:\, and decompress the installation package.
Step 2 Go to the directory where the Storage plug-in installation package is decompressed, and double-click the run.bat file in bin\ folder.
Step 3 Open the Chrome, (https://localhost:8088/homePage or http://localhost:8080/homePage, and the login page is displayed.
Step 4 Fill in vCenter IP 、 User Name and Password and click the register button in this page.",Registration success message
Register ,Register Storage Plugin on already registerd vcenter server,NBP_VMWARE_STORAGE_14,"1.vCenter server is setup and accessible
2.User is able to login vSphere Web Client
3.Plugin package has been built
","Step 1 Copy the Storage plug-in installation package to a directory on the Windows operating system, such as D:\, and decompress the installation package.
Step 2 Go to the directory where the Storage plug-in installation package is decompressed, and double-click the run.bat file in bin\ folder.
Step 3 Open the Chrome, (https://localhost:8088/homePage or http://localhost:8080/homePage, and the login page is displayed.
Step 4 Fill in vCenter IP 、 User Name and Password and click the register button in this page.",Already registered message
