Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Result
Build VRO Plugin Package,Build VRO Plugin,NBP_VMWARE_VRO_1,1. Required build setup and lib are available as mentioned in  https://github.com/opensds/nbp/blob/master/vmware/vro/plugin/README.md ,"1. Clone or Download /opensds/nbp repository in a windows machine 
2. create folder named lib in /vmaware/vro/plgin location and copy vmware sdk jars as mentioned in https://github.com/opensds/nbp/blob/master/vmware/vro/plugin/README.md
2. execute  /vmware/vro/plugin/run/run.bat
3. Verify plugin package openSDS_Storage_vRO_Plugin_V1.0.0.zip is available at nbp/vmware/vro/plugin/plugin_package.","1. Repository is cloned / or package is downloaded
2. Build Successfull message
3./vro/plugin/plugin-package folder contains openSDS_Storage_vRO_Plugin_V1.0.0.zip"
Deploy VRO Plugin,Deploy VRO Plugin,NBP_VMWARE_VRO_1,"1.vrealize orchestrator applicance  is created
2.User is able to launch <vro_IP>:8283/vco-controlcenter
3Plugin Package is built and available as zip package in /vro/plugin/plugin-package folder","1.Launch <vro_IP>:8283/vco-controlcenter
2. Select Plugin Management
3. unzip /vro/plugin/plugin-package/openSDS_Storage_vRO_Plugin_V1.0.0.zip
4.Go to Intsall plugin-section and Browse /vro/plugin/plugin-package/vrealize-orchestrator-plugin-opensds.dar
5.Upload .dar file
6.Click install","1. VCO Control Center Launched
2. Plugin-manage page is open
3. unzip is success and 2 files (1.org.OpenSDS.DataManagement.package and 2.vrealize-orchestrator-plugin-opensds.dar ) are available
4. Able to locate .dar files
5.Install Plugin displays OpenSDS.1.0.1 with install button enabled
6. Plugin 'OpenSDS' (1.0..0 build 1 is installed' message "
Verify Package and Workflows,Verify Package,NBP_VMWARE_VRO_2,,"1. Launch vRealize Orchestrator Client
2. Switch to Design Mode, select package tab
3. Check existance of Package name org.OpenSDS.DataManagement","1. VRO Client Launched
2.Switched to Design mode , package tab is selected
3. Package org.OpenSDS.DataManagement is present"
,Verify Actions,NBP_VMWARE_VRO_3,,"1. Launch vRealize Orchestrator Client 
2. Switch to Design Mode
 3. switch to actions tab,browse for org.opensds.storage
4.Check existance of createDatastoreToHost ","1. VRO Client Launched 
2.Switched to Design mode
 3. Actions folder org.OpenSDS.Storage is present
4.Action createDataStoreToHost is present"
,Verify Workflows,NBP_VMWARE_VRO_4,,"1. Launch vRealize Orchestrator Client 
2. Switch to Design Mode
 3. switch to workfows tab,browse for OpenSDS folder
4.Check existance following workflows
a)OpenSDS DataManagement/Configuration/Register OpenSDS
b)OpenSDS DataManagement/Configuration/UnRegister OpenSDS
c)OpenSDS DataManagement/SAN Management/Attach Volume To host
d)OpenSDS DataManagement/SAN Management/Create Volume
e)OpenSDS DataManagement/SAN Management/Delete Volume 
f)OpenSDS DataManagement/SAN Management/Expand Volume
g)OpenSDS DataManagement/vSpshere Integration/Create Datastore","1. VRO Client Launched 
2.Switched to Design mode
3. OpenSDS Workflow folder is present
4. All workflows (a-g) are present"
,Export Package,NBP_VMWARE_VRO_5,,"1. Launch vRealize Orchestrator Client
2. Switch to Design Mode 
3. Check existance of Package name org.OpenSDS.Storage
4.right click on org.OpenSDS.Storage and select Export Package
5. Choose a name and click save
6. Verify the package is presnt in exported location","1. VRO Client Launched
2.Switched to Design mode 
3. Package org.OpenSDS.Storage is present
4.Save dialogue window with default options pop up
5. Export success
6. Package file is present in selected location"
,Export Package to Folder,NBP_VMWARE_VRO_6,,"1. Launch vRealize Orchestrator Client
2. Switch to Design Mode 
3. Check existance of Package name org.OpenSDS.Storage
4.right click on org.OpenSDS.Storage and select Expand Package to Folder
5. Choose a name and click save
6. Verify the package is presnt in exported location","1. VRO Client Launched 
2.Switched to Design mode 
3. Package org.OpenSDS.Storage is present 
4.Save dialogue window with default options pop up 
5. Export success 
6. Package folder   is present in selected location"
,Import Package,NBP_VMWARE_VRO_7,,"1. Launch vRealize Orchestrator Client
2. Switch to Design Mode 
3. Select Import Package 
4. Select the Package and click open
5. verify package org.opensds.stoarge is present in packages tab
","1. VRO Client Launched 
2.Switched to Design mode 
3.open dialogue opened
4.package import success
5. package org.opensds.stoarge is present in packages tab"
,Import Package from Folder,NBP_VMWARE_VRO_8,,"1. Launch vRealize Orchestrator Client
2. Switch to Design Mode 
3. Select Import Package from folder
4. Select the Package folder  and click open
5. verify package org.opensds.stoarge is present in packages tab","1. VRO Client Launched 
2.Switched to Design mode 
3.work flow is visible
4.validtion success
5. package org.opensds.stoarge is present in packages tab"
,Validate Register OpenSDS workflow,NBP_VMWARE_VRO_9,,"1. Launch vRealize Orchestrator Client
2. Switch to Design Mode 
3. Select  work flow OpenSDS DataManagement/Configuration/Register OpenSDS
4. right clickk on workflow and select validate Workflow
","1. VRO Client Launched 
2.Switched to Design mode 
3.work flow is visible
4.validtion success
5. package org.opensds.stoarge is present in packages tab"
,Validate UnRegister OpenSDS workflow,NBP_VMWARE_VRO_10,,"1. Launch vRealize Orchestrator Client
2. Switch to Design Mode 
3. Select  work flow OpenSDS DataManagement/Configuration/UnRegister OpenSDS
4. right clickk on workflow and select validate Workflow","1. VRO Client Launched 
2.Switched to Design mode 
3.work flow is visible
4.validtion success
5. package org.opensds.stoarge is present in packages tab"
,Validate CreateVolume workflow,NBP_VMWARE_VRO_11,,"1. Launch vRealize Orchestrator Client
2. Switch to Design Mode 
3. Select  work flow OpenSDS DataManagement/SAN Management/Create Volume
4. right clickk on workflow and select validate Workflow","1. VRO Client Launched 
2.Switched to Design mode 
3.work flow is visible
4.validtion success
5. package org.opensds.stoarge is present in packages tab"
,Validate DeleteVolume workflow,NBP_VMWARE_VRO_12,,"1. Launch vRealize Orchestrator Client
2. Switch to Design Mode 
3. Select  work flow OpenSDS DataManagement/SAN Management/Delete Volume
4. right clickk on workflow and select validate Workflow","1. VRO Client Launched 
2.Switched to Design mode 
3.work flow is visible
4.validtion success
5. package org.opensds.stoarge is present in packages tab"
,Validate Expand Volume workflow,NBP_VMWARE_VRO_13,,"1. Launch vRealize Orchestrator Client
2. Switch to Design Mode 
3. Select  work flow OpenSDS DataManagement/SAN Management/Expand Volume
4. right clickk on workflow and select validate Workflow","1. VRO Client Launched 
2.Switched to Design mode 
3.work flow is visible
4.validtion success
5. package org.opensds.stoarge is present in packages tab"
,Validate Attach Volume workflow,NBP_VMWARE_VRO_14,,"1. Launch vRealize Orchestrator Client
2. Switch to Design Mode 
3. Select  work flow OpenSDS DataManagement/SAN Management/Attach Volume To host
4. right clickk on workflow and select validate Workflow","1. VRO Client Launched 
2.Switched to Design mode 
3.work flow is visible
4.validtion success
5. package org.opensds.stoarge is present in packages tab"
,Validate Create datstore workflow,NBP_VMWARE_VRO_15,,"1. Launch vRealize Orchestrator Client
2. Switch to Design Mode 
3. Select  work flow OpenSDS DataManagement/vSpshere Integration/Create Datastore
4. right clickk on workflow and select validate Workflow","1. VRO Client Launched 
2.Switched to Design mode 
3.work flow is visible
4.validtion success
5. package org.opensds.stoarge is present in packages tab"
