Feature Scenario,Testcase Title,Testcase Id,Testcase Precondition,Testcase steps,Expected Result
"User can create new  bucket Life Cycle configuration








[Valid Inputs]",Create New BucketLife Cycle configuration with Transition Rule,LC_001,"1. Application is  Installed & running

2. Dashboard is deployed and running

3. User logged into dashboard

4. Bucket is created

5. Object is uploaded(optional)
","1. Click on Lifecyle Menu

2. Enter Rule ID 

3. Select Transition Rule 

4. Provide Transition rule with days and select backend

5. Click Submit Button","1. Lifecycle Configuration is added into MongoDB wth Transition Rule

2. Browser response: 200OK

3. Dashboard Lists the newly created Configuration showing transition rule
"
,Create New BucketLife Cycle configuration with Expiration Rule,LC_002,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created
5. Object is uploaded(optional)","1. Click on Lifecyle Menu
2. Enter Rule ID 
3. Select Expiration Rule
4. Provide days after which bucket should expire
5. Click Submit Button","1. Lifecycle Configuration is added into MongoDB wth Transition Rule
2. Browser response: 200OK
3. Dashboard Lists the newly created Configuration showing expiration rule"
,Create New BucketLife Cycle configuration with Transition Rule & Expiration Rule,LC_003,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created
5. Object is uploaded(optional)
","1. Click on Lifecyle Menu
2. Enter Rule ID 
3. Select Transition Rule 
4. Provide Transition rule with days and select backend
5. Select Expiration Rule
6. Proide Days after which bucket should expire
7. Click Submit Button
","1. Lifecycle Configuration is added into MongoDB with Transition Rule and Expiration Rule
2. Browser response: 200OK
3. Dashboard Lists the newly created Configuration showing both transition and Expiration Rules"
"User can create new  bucket Life Cycle configuration








[Invalid Inputs]",please add test cases with different invalid inputs for lifecycle configuration,LC_004,,,
"View and Update Bucket Lifecycle Configuration












",View existing Bucket Lifecycle Configuration,LC_005,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created
5. Object is uploaded(optional)
6. Lifecycle is configured and is visible in Dashboard","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Check the lifecycle configuration existing on that bucket, all the rules

","1. Lifecycle configuration fetched from MongoDB 
2. Browser response : 200OK
3. Dashboard shows the existing lifecycle configuration on specified bucket

"
,Disable  existing Bucket lifecycle Configuration,LC_006,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created
5. Object is uploaded(optional)
6. Lifecycle is configured and is visible in Dashboard","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Check the lifecycle configuration existing on that bucket
4. Check on the right side options of the rule, click on Disable
5. There will be a pop up showing that configuration will be disabled, click OK","1. Lifecycle configuration will be updated in MongoDB with updated status
2. Browse response: 200OK
3. Dashboard shows status of lifecycle configuration as Disabled


"
,Enable disabled Bucket lifecycle Configuration,LC_007,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created
5. Object is uploaded(optional)
6. Lifecycle is configured and is visible in Dashboard","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Check the lifecycle configuration existing on that bucket and status is disabled
4. Check on the right side options of the rule, click on Enable
5. There will be a pop up showing that configuration will be enabled, click OK","1. Lifecycle configuration will be updated in MongoDB with updated status
2. Browse response: 200OK
3. Dashboard shows status of lifecycle configuration as Enabled and will also list all the transition and expiration rules


"
,Edit existing Bucket lifecycle Configuration,LC_008,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created
5. Object is uploaded(optional)
6. Lifecycle is configured and is visible in Dashboard","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Check the lifecycle configuration existing on that bucket
4. Check on the right side options of the rule, click on Edit
5. There will be a window which will show existing configuration, make the changes whatever required.
6. Click Submit Button","1. Lifecycle configuration will be updated in MongoDB with latest changes
2. Browse response: 200OK
3. Dashboard shows new updated lifecycle configuration 

"
Delete Bucket Lifecycle Configuration,Deleting the existing lifecycle Configuration,LC_009,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created
5. Object is uploaded(optional)
6. Lifecycle is configured and is visible in Dashboard","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Check the lifecycle configuration existing on that bucket
4. Check on the right side options of the rule, click on Delete
5. There will be a pop up window which will say that existing configuration will be deleted
6. Click OK Button","1. Lifecycle rule will be deleted from MongoDB
2. Browse response: 200OK
3. Dashboard will delete the lifecycle rule"
,Deleting multiple lifecycle Configuration,LC_010,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created
5. Object is uploaded(optional)
6. Lifecycle is configured and is visible in Dashboard","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Check the lifecycle configurations(multple) existing on that bucket
4. Select all the rules which you want to delete
5. There will be a pop up window which will say that all the rules will be deleted
6. Click OK Button","1. Lifecycle rules(all selected)will be deleted from MongoDB
2. Browse response: 200OK
3. Dashboard will delete all the lifecycle rules whcih were selected one by one "
