Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Result
Build Plugin Package,Build NGC Package,NBP_VMWARE_STORAGE_0,,"1.Follow OpenSDS_NGC_Compilation_Guide.md
2. Unpack NGC-Register-1.0.0 and verify below files are present
app
bin
conf
readme.txt
Plugin/plugins/Adpate_manager
Plugin/plugins/ngc_service
Plugin/plugins/ngc_ui
Plugin/plugins/vim25
","1.Build successfull and NGC-Register-1.0.0.zip is created
2.All files are presnt in the package"
,Register Storage Plugin,NBP_VMWARE_STORAGE_1,"vCenter server is setup and accessible
User is able to login vSphere Web Client
Plugin package has been built
","Step 1 Copy the Storage plug-in installation package to a directory on the Windows operating system, such as D:\, and decompress the installation package.
Step 2 Go to the directory where the Storage plug-in installation package is decompressed, and double-click the run.bat file in bin\ folder.
Step 3 Open the Chrome, (https://localhost:8088/homePage or http://localhost:8080/homePage, and the login page is displayed.
Step 4 Fill in vCenter IP 、 User Name and Password and click the register button in this page.",Registration success message
,Download Plugin files to vCenter server,NBP_VMWARE_STORAGE_2,"Result of NBP_VMWARE_STORAGE_1 is success
","Step 1 Login to vCenter server using ssh
Step 2 Restart vSpher client ( service-control --stop vsphere-client )
 service-control --start vsphere-client
Step 3 Launch vSphere web client
",OpenSDS storage plugin icon is visible in home page.
,Add storage platform,NBP_VMWARE_STORAGE_3,NBP_VMWARE_STORAGE_2 is success,"Step1 Open OpenSDS Storgae plugin from Home/administration
Step2 Click Add(+) button 
Step3 select OpenSDS
step4 Provide OpenSDS endpoint credentials
step5 Click Submit","1. Storage Plugin page opens up
2. Add storage platform opens up and listed openSDS in the platform type 
3. Succes message box is displayed"
,Delete storage platform,NBP_VMWARE_STORAGE_4,NBP_VMWARE_STORAGE_3 is success,"Step1 Open OpenSDS Storgae plugin from Home/administration
Step2 select the storage platform you want to delete
Step3 Click Delete(X) button 

","1. All storage platforms are diplayed in the plugin page and able to select one
2. success message displayed"
,Modify storage platform credetilas,NBP_VMWARE_STORAGE_5,NBP_VMWARE_STORAGE_3 is success,"1.        In the Administration area, click plugin button.
2. 1.        Right-click the storage array to be modified and select Config Storage Platforms in the shortcut menu.
3..        On the Config Storage Platform page, enter the new user/password.
4.Click submit","1. All storage platforms are diplayed in the plugin page and able to select one
2. success message displayed"
,view storage platform informations,NBP_VMWARE_STORAGE_6,NBP_VMWARE_STORAGE_3 is success,"1.        Click Home in the navigation tree on the left. 
2.     In Administration, click plugin button.
3.	In the navigation tree on the left, choose the storage platform that you want to view.
","1.The Home page is displayed.
2. The Storage Platforms page is displayed.
3. The details about the storage platform are displayed.
"
,create and attach volume,NBP_VMWARE_STORAGE_7,NBP_VMWARE_STORAGE_3 is success,"Step 1 Click Home in the navigation tree on the left.
Step 2 In the Inventories area, click Hosts and Clusters
Step 3 In the navigation tree on the left, select the host on which a datastore or VOLUME is to be created. Right-click the host, and choose OpenSDS Storage Plugin > Create Datastore/ Volume from the shortcut menu.
Step 4 Select the storage pltform  on which the datastore is to be created, and click NEXT.
Step 5 unSelect Create Datastore, set the datastore type to Block storage type, and click NEXT.
Step 6 Select a storage pool and click NEXT.
Step 7 Set parameters for the VOLUME and click NEXT.

Step 8 Confirm the information of the datastore to be created, and click FINISH. And then confirm the createing result informations in VMware Tasks.
step 9  Confirm volume is created is open sds by execting ""osdsctl volume list "" command 

","1. The Home page is displayed
2. esx hosts are listed in the tree panel
3. The Create Datastore/ Volume dialog box is displayed.
4. Available storage pools in the selected storage platform is listed
5.dialogue box to enter volume details is populated
6. summary of the volume to be created is listed
7. task status shows completed for create volume and attach volume atsks.
8. volume list  oputput of opensds has new volume created."
,create datastore,NBP_VMWARE_STORAGE_8,NBP_VMWARE_STORAGE_3 is success,"Step 1 Click Home in the navigation tree on the left.
Step 2 In the Inventories area, click Hosts and Clusters
Step 3 In the navigation tree on the left, select the host on which a datastore or VOLUME is to be created. Right-click the host, and choose OpenSDS Storage Plugin > Create Datastore/ Volume from the shortcut menu.
Step 4 Select the storage on which the datastore is to be created, and click NEXT.
Step 5 Select Create Datastore, set the datastore type to Block storage type, and click NEXT.
Step 6 Select a storage pool and click NEXT.
Step 7 Set parameters for the VOLUME and click NEXT.
Step 8 Select a file system version for the datastore to be created, and click NEXT.

Step 8 Confirm the information of the datastore to be created, and click FINISH. And then confirm the createing result informations in VMware Tasks.
Step 10 Set a name for the datastore to be created, and click CREATE.

","1. The Home page is displayed
2. esx hosts are listed in the tree panel
3. The Create Datastore/ Volume dialog box is displayed.
4. Available storage pools in the selected storage platform is listed
5.dialogue box to enter volume details is populated
6. summary of the volume to be created is listed
7. task status shows completed for create volume ,attach volume,create vmfs  tasks.
8. new data store is listed in datastores tab

9. volume list  oputput of opensds has new volume created."
,List Unmounted/Available Volumes,NBP_VMWARE_STORAGE_9,,,"1. The Home page is displayed.
2. esx hosts are listed in the tree panel.
3. The Mount/Unmount Backup Volume tab is displayed in the tree panel.
4. dialogue box to list available volumes details is populated."
,Mount Volumes,NBP_VMWARE_STORAGE_10,,,"1. The Home page is displayed 
2. esx hosts are listed in the tree panel 
3. The Mount/Unmount Backup Volume tab is displayed in the tree panel. 
4. dialogue box to list available volumes details is populated. 
5. Volume should be mounted. 
6. task status shows completed for mount volume. 
7. new device should be added to the ESX host. 
8. volume attachment list oputput of opensds has new attachment created."
